Fold,Accuracy,F1,AUC-ROC
6,0.9063034080627325,0.8927281525352198,0.932220833265469
7,0.9015684697365776,0.8868686883344304,0.9292146660634115
8,0.9035793283732154,0.8888577441901632,0.9259892811711217
9,0.9065956163281721,0.8912883619203212,0.927552671992856
10,0.904091685935458,0.890095735964316,0.9336820191311157
11,0.9012767668643812,0.885969129676493,0.9286707945799708
12,0.9025738990548965,0.8869139003727285,0.9286792167190577
13,0.9084053891011462,0.8945410852500928,0.9295429883004571
14,0.9040820430323748,0.8901623618251018,0.9228800973447298
0,0.884286719613954,0.8299830321425961,0.8847099068409975
1,0.8851915150296572,0.8312832007077784,0.904787221875805
2,0.8838729137341644,0.8293885664340119,0.8909845320947586
3,0.8802533681882164,0.8241931702569738,0.8883267855575872
4,0.8822642268248542,0.827078531102836,0.8924420893336351
5,0.8820749974866794,0.8268069043264917,0.8916001629242096
6,0.8817733990147784,0.8263740231604468,0.8966546372282808
7,0.8813593404383672,0.8257798181148703,0.8819677915830423
8,0.8856826865071386,0.8319892066586386,0.8853022509460771
9,0.8849788859843153,0.830977614085123,0.9028910903910904
10,0.8834824570222177,0.8288277376366426,0.8948858805422564
11,0.8808686035990752,0.825075707385226,0.8826963768555625
12,0.8792479388698975,0.8227514017888024,0.8900151341387418
13,0.884275085461492,0.829966317339931,0.8991559851803483
14,0.8879951739392721,0.8353150895975769,0.8824033565718264
0,0.884286719613954,0.8299830321425961,0.885022474871091
1,0.8851915150296572,0.8312832007077784,0.9004845201192205
2,0.8838729137341644,0.8293885664340119,0.8913860151148286
3,0.8802533681882164,0.8241931702569738,0.8911454219994716
4,0.8822642268248542,0.827078531102836,0.8919112648745442
5,0.8820749974866794,0.8268069043264917,0.8923931650340239
6,0.8817733990147784,0.8263740231604468,0.8978692149531116
7,0.8813593404383672,0.8257798181148703,0.8835351918235711
8,0.8856826865071386,0.8319892066586386,0.8851623724157542
9,0.8849788859843153,0.830977614085123,0.9019146753042458
10,0.8834824570222177,0.8288277376366426,0.8930846067054337
11,0.8808686035990752,0.825075707385226,0.8827901361556472
12,0.8792479388698975,0.8227514017888024,0.889984761126734
13,0.884275085461492,0.829966317339931,0.9004867112612855
14,0.8879951739392721,0.8353150895975769,0.8825272023716599
0,0.9132401729164572,0.9065216806673059,0.9361361633062023
1,0.9076103347743039,0.9009824710757449,0.935035518546917
2,0.9103157048059521,0.9047426520985019,0.9361262822416274
3,0.9073999597828273,0.8994196315260303,0.9337399140038006
4,0.9111200482606073,0.903941471870559,0.9399489563793577
5,0.912335377500754,0.9053655733067323,0.9380461939882444
6,0.9099225897255454,0.9038213719529445,0.9392251599077664
